Channel_1,Channel_2,Channel_3,Channel_4
791.75824,801.4286,804.2491,773.22345
796.5934,800.6227,805.4579,777.6557
785.31134,798.60803,803.0403,772.4176
776.04395,801.02563,800.6227,773.22345
784.5055,796.99634,800.2198,773.22345
784.10254,796.1905,802.23444,773.22345
765.9707,798.60803,807.8755,779.2674
775.2381,798.60803,808.68134,787.72894
786.52014,801.8315,810.696,787.72894
774.0293,799.81683,804.2491,771.2088
785.7143,798.20514,807.8755,780.4762
782.0879,795.78754,803.8461,774.0293
785.7143,800.6227,807.0696,774.0293
790.54944,801.8315,808.68134,785.31134
788.5348,802.23444,807.47253,790.54944
788.5348,807.47253,808.68134,778.0586
792.5641,809.0842,810.293,776.04395
794.9817,806.26373,811.9048,783.69965
800.6227,802.23444,811.9048,791.3553
804.2491,806.6667,810.696,792.5641
810.696,813.5165,809.4872,799.81683
818.3516,815.12823,813.1135,799.011
798.20514,806.6667,817.1429,783.2967
775.2381,803.8461,810.293,768.7912
783.2967,807.8755,805.4579,769.19415
782.8938,803.8461,807.8755,767.1795
778.0586,800.2198,808.68134,761.53845
779.67035,802.23444,810.293,777.6557
784.5055,801.4286,807.47253,780.87915
791.3553,805.8608,807.0696,772.01465
787.72894,805.05493,808.2784,767.98535
778.86444,801.02563,809.0842,767.1795
787.326,805.05493,808.2784,776.4469
787.72894,803.44324,802.23444,776.4469
793.36993,794.57874,801.4286,767.5824
790.54944,799.011,803.44324,765.16486
774.0293,803.44324,802.6374,765.56775
781.28204,802.6374,805.8608,770.40295
791.75824,801.8315,805.8608,772.8205
788.5348,801.02563,805.8608,788.1319
774.0293,798.60803,809.0842,782.8938
781.28204,795.38464,806.26373,782.0879
784.90845,792.5641,804.2491,779.67035
782.0879,795.78754,802.6374,772.8205
784.90845,798.20514,806.6667,778.86444
780.87915,802.23444,804.2491,761.9414
779.2674,799.41394,808.68134,765.56775
783.2967,801.8315,806.26373,766.3736
789.34064,805.4579,809.4872,772.01465
796.99634,805.05493,808.68134,775.2381
801.02563,801.4286,808.68134,776.8498
794.17584,799.81683,811.50183,770.40295
790.54944,800.2198,809.4872,775.2381
792.96704,799.011,808.68134,783.69965
789.34064,799.011,810.696,785.7143
788.93774,803.0403,813.1135,778.86444
794.9817,804.65204,812.71063,770
796.99634,803.8461,806.26373,770.80585
799.41394,803.44324,804.2491,773.22345
804.2491,801.02563,808.2784,779.67035
800.6227,802.6374,806.6667,778.86444
801.02563,805.4579,805.4579,771.2088
790.14655,804.65204,810.696,774.43225
795.78754,807.0696,807.8755,785.7143
791.75824,803.0403,804.65204,774.83514
790.9524,801.02563,803.8461,766.3736
801.02563,800.6227,806.6667,777.6557
800.2198,801.8315,811.0989,788.5348
793.36993,803.8461,808.68134,779.2674
791.3553,804.65204,805.05493,773.6264
788.5348,800.6227,804.2491,775.2381
794.17584,799.011,807.0696,774.83514
794.57874,800.2198,807.47253,787.326
797.3993,806.6667,803.8461,776.04395
784.10254,805.05493,812.71063,792.1612
791.75824,802.6374,808.2784,796.1905
786.9231,806.26373,807.8755,781.685
787.72894,804.65204,803.8461,772.4176
778.46155,794.57874,805.8608,765.56775
779.67035,795.38464,802.6374,780.07324
783.69965,800.2198,801.8315,773.22345
781.685,798.60803,801.8315,765.16486
770.40295,796.1905,802.6374,775.2381
778.0586,799.011,798.20514,773.22345
778.0586,797.8022,805.4579,772.01465
785.31134,803.0403,802.6374,775.64105
776.8498,800.2198,802.6374,784.5055
776.8498,799.011,800.6227,776.4469
778.0586,798.60803,801.4286,768.7912
772.01465,796.5934,803.8461,766.77655
778.46155,794.9817,801.4286,769.59705
788.93774,796.99634,805.4579,780.07324
772.01465,799.81683,803.8461,772.8205
789.34064,803.0403,811.9048,784.5055
781.28204,802.6374,807.47253,790.54944
794.17584,802.6374,807.0696,785.31134
788.1319,803.8461,806.6667,782.0879
786.9231,800.2198,807.47253,779.2674
792.5641,798.60803,804.65204,788.1319
796.5934,799.011,807.47253,789.7436
786.9231,801.8315,805.05493,784.10254
789.34064,800.2198,802.23444,786.9231
789.34064,801.4286,805.4579,783.2967
786.52014,805.4579,807.47253,780.07324
787.72894,803.0403,802.6374,785.7143
784.10254,798.20514,796.99634,785.31134
785.7143,793.36993,797.8022,778.0586
788.1319,793.36993,803.0403,772.01465
778.0586,799.011,807.0696,780.87915
786.9231,799.011,803.8461,777.25275
769.19415,798.60803,805.4579,778.46155
766.77655,796.99634,800.6227,780.07324
768.3883,792.5641,800.6227,783.2967
767.1795,794.17584,797.8022,780.87915
787.72894,792.5641,800.6227,782.8938
780.4762,800.2198,805.05493,767.5824
784.90845,791.75824,801.02563,777.25275
786.1172,801.8315,803.44324,762.74725
790.54944,799.011,800.6227,776.8498
794.17584,796.99634,800.6227,789.7436
793.36993,796.99634,801.8315,794.17584
796.99634,802.6374,806.6667,795.38464
792.1612,804.2491,809.4872,786.1172
785.31134,801.4286,808.2784,782.0879
788.1319,799.81683,805.4579,788.93774
792.1612,808.2784,805.05493,792.1612
793.7729,809.89014,807.0696,788.93774
784.90845,804.65204,803.44324,778.46155
798.60803,801.4286,805.4579,786.1172
785.31134,804.65204,804.2491,780.87915
796.99634,799.41394,806.6667,803.8461
790.9524,802.6374,808.68134,806.6667
789.34064,804.65204,805.05493,791.75824
786.52014,804.2491,800.6227,781.28204
786.52014,800.6227,800.2198,786.1172
795.38464,801.4286,804.65204,806.6667
790.9524,801.4286,805.4579,776.4469
796.5934,808.2784,799.011,787.326
792.96704,804.65204,802.23444,799.81683
784.90845,794.57874,803.8461,786.9231
797.8022,802.6374,801.4286,772.4176
784.5055,792.1612,801.4286,774.83514
794.57874,791.3553,796.99634,788.1319
799.81683,796.1905,792.96704,796.1905
795.78754,801.8315,796.1905,792.1612
794.9817,797.8022,793.7729,788.93774
797.3993,795.38464,791.75824,784.90845
789.34064,800.6227,799.011,786.52014
789.34064,795.78754,799.81683,794.17584
792.96704,792.5641,799.81683,799.41394
787.72894,796.1905,800.2198,787.326
787.326,795.38464,796.5934,777.6557
791.75824,798.20514,799.41394,786.9231
793.36993,802.6374,802.6374,794.17584
803.44324,803.44324,805.4579,794.57874
800.6227,799.011,802.23444,786.52014
792.96704,797.8022,799.81683,779.67035
794.57874,804.65204,803.44324,782.49084
796.5934,802.6374,801.4286,801.8315
796.1905,797.8022,802.6374,783.69965
797.8022,798.60803,802.23444,790.14655
794.9817,801.8315,805.8608,778.46155
782.49084,799.011,805.05493,769.19415
777.25275,797.3993,800.6227,760.7326
781.28204,792.1612,796.5934,773.22345
798.20514,796.1905,803.0403,778.86444
801.4286,795.78754,799.81683,787.326
790.9524,797.8022,804.2491,784.5055
788.1319,793.7729,808.2784,782.0879
784.90845,793.36993,806.26373,778.0586
790.9524,792.96704,797.3993,790.14655
782.49084,794.57874,804.2491,778.0586
794.57874,796.99634,806.6667,796.99634
803.44324,800.2198,806.26373,792.5641
806.6667,805.05493,809.4872,791.75824
802.23444,800.6227,809.89014,789.34064
787.72894,796.99634,807.47253,792.5641
796.5934,794.17584,805.8608,784.90845
799.011,792.5641,798.60803,792.5641
795.78754,793.7729,796.1905,798.20514
786.1172,796.5934,797.3993,782.8938
781.685,797.3993,796.99634,778.46155
783.69965,796.1905,800.6227,786.52014
788.93774,801.02563,805.05493,791.3553
803.8461,803.44324,808.2784,790.54944
805.05493,799.81683,806.26373,784.5055
792.96704,793.36993,802.23444,782.8938
793.36993,793.36993,803.0403,797.3993
796.99634,803.44324,807.8755,796.99634
797.8022,801.4286,802.6374,791.75824
792.1612,797.3993,794.9817,791.75824
786.1172,799.41394,799.41394,788.1319
785.7143,795.78754,797.8022,790.9524
777.6557,797.3993,797.8022,765.16486
785.7143,797.8022,792.96704,771.6117
790.9524,796.1905,795.38464,788.93774
783.69965,798.60803,799.41394,778.0586
783.69965,793.7729,801.4286,786.52014
778.0586,794.17584,798.20514,779.2674
784.90845,794.57874,799.41394,780.07324
790.9524,793.7729,803.8461,784.90845
786.9231,792.96704,805.05493,791.3553
796.1905,799.41394,805.8608,790.9524
794.57874,800.2198,804.65204,785.7143
790.9524,795.38464,803.44324,783.2967
790.9524,799.011,800.6227,794.57874
785.7143,798.20514,795.78754,800.6227
789.7436,799.81683,794.17584,786.1172
790.14655,802.6374,801.4286,778.86444
788.1319,800.6227,803.44324,785.31134
792.5641,798.60803,798.20514,790.14655
